,_wpmbiasp,_wp5,_wp4,_wp1,_wp0,_wnmbiasp,_wnmbiasn,_wn8,_wn6,_wn4,_wn0,_nfpmbiasp,_nfp5,_nfp4,_nfp1,_nfp0,_nfnmbiasp,_nfnmbiasn,_nfn8,_nfn6,_nfn4,_nfn0,_lpmbiasp,_lp5,_lp4,_lp1,_lp0,_lnmbiasp,_lnmbiasn,_ln8,_ln6,_ln4,_ln0,fom,gdc,idd,gbw,pm,cload
4724,9.98E-6,7.66E-6,7.38E-6,1.4E-7,1.36E-6,1.48E-6,7.66E-6,6.12E-6,1.2E-7,3.0E-6,2.0E-7,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.86E-6,1.8E-7,8.0E-8,6.6E-7,1.4E-7,9.8E-7,1.24E-6,1.56E-6,1.12E-6,2.0E-6,1.38E-6,4372.9,51.186,1.8393E-4,1.3405E8,61.329,6.999999999999999e-12
4725,9.6E-6,1.0E-5,6.58E-6,1.2E-7,1.26E-6,1.7E-6,9.26E-6,1.88E-6,1.2E-7,4.3E-6,1.4E-7,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.34E-6,3.4E-7,3.2E-7,1.04E-6,2.0E-7,1.62E-6,1.68E-6,1.42E-6,1.98E-6,1.8E-6,1.28E-6,5399.1,51.184,6.33E-5,5.6961E7,61.45,6.999999999999999e-12
4726,8.64E-6,9.1E-6,5.9E-6,1.2E-7,1.6E-7,1.54E-6,9.4E-6,4.94E-6,1.2E-7,4.2E-6,2.6E-7,8.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.42E-6,3.2E-7,6.0E-8,5.8E-7,1.8E-7,1.36E-6,1.0E-6,1.9E-6,1.8E-6,1.96E-6,1.1E-6,4866.0,51.181,1.0648E-4,8.6355E7,67.63,6.999999999999999e-12
4727,9.78E-6,8.88E-6,6.2E-6,1.2E-7,1.28E-6,1.26E-6,7.48E-6,2.44E-6,1.2E-7,4.92E-6,1.4E-7,4.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,2.0,1.52E-6,2.4E-7,1.6E-7,8.0E-7,1.8E-7,1.38E-6,1.66E-6,1.72E-6,1.72E-6,1.92E-6,1.48E-6,5584.0,51.174,9.4517E-5,8.7963E7,60.708,6.999999999999999e-12
4728,8.76E-6,9.98E-6,6.64E-6,1.2E-7,9.8E-7,9.8E-7,8.28E-6,1.92E-6,1.2E-7,3.46E-6,1.2E-7,2.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.52E-6,2.8E-7,3.0E-7,1.1E-6,2.0E-7,1.18E-6,1.5E-6,1.74E-6,1.96E-6,2.0E-6,1.06E-6,5507.7,51.161,5.8999E-5,5.4158E7,64.902,6.999999999999999e-12
4729,8.46E-6,8.0E-6,7.54E-6,1.2E-7,1.36E-6,1.54E-6,9.02E-6,4.6E-6,1.2E-7,2.46E-6,2.4E-7,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.48E-6,2.4E-7,6.0E-8,5.6E-7,1.6E-7,1.6E-6,1.76E-6,1.24E-6,1.78E-6,1.72E-6,1.5E-6,4549.1,51.152,1.6896E-4,1.281E8,62.029,6.999999999999999e-12
4730,9.96E-6,9.2E-6,6.48E-6,1.2E-7,9.4E-7,1.28E-6,8.26E-6,2.46E-6,1.2E-7,5.02E-6,1.4E-7,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.44E-6,2.0E-7,2.2E-7,1.02E-6,2.0E-7,1.04E-6,1.66E-6,1.62E-6,1.88E-6,1.96E-6,1.24E-6,5513.4,51.132,9.2229E-5,8.4749E7,61.483,6.999999999999999e-12
4731,8.64E-6,1.0E-5,5.9E-6,1.2E-7,1.44E-6,1.32E-6,8.64E-6,4.38E-6,1.2E-7,3.22E-6,2.6E-7,13.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.44E-6,3.6E-7,6.0E-8,5.8E-7,1.8E-7,1.36E-6,9.8E-7,1.96E-6,1.88E-6,1.82E-6,1.18E-6,5278.1,51.116,1.0063E-4,8.8522E7,62.948,6.999999999999999e-12
4732,9.84E-6,9.98E-6,7.36E-6,1.2E-7,1.36E-6,1.74E-6,7.88E-6,3.88E-6,1.2E-7,3.22E-6,1.2E-7,7.0,2.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.48E-6,2.4E-7,2.0E-7,6.2E-7,1.6E-7,1.3E-6,1.64E-6,1.6E-6,1.82E-6,2.0E-6,5.6E-7,5093.2,51.101,1.4072E-4,1.1945E8,63.126,6.999999999999999e-12
4733,9.8E-6,9.42E-6,7.54E-6,1.2E-7,1.0E-6,1.32E-6,6.2E-6,1.5E-6,1.2E-7,3.66E-6,2.0E-7,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.32E-6,2.6E-7,2.8E-7,1.04E-6,1.6E-7,1.62E-6,1.5E-6,1.16E-6,1.36E-6,1.94E-6,1.52E-6,5117.7,51.1,7.4873E-5,6.3862E7,65.618,6.999999999999999e-12
